source_file,receiver,sender,message_index,category,confidence,reason,message
10 generationLine1\17\logs\Bot1.json,Bot1,Bot2,3,Mutualistic_Collaboration,high,Contains task/role coordination where both agents benefit without clear unilateral sacrifice.,you cover I scout
10 generationLine1\17\logs\Bot2.json,Bot2,Bot1,4,Mutualistic_Collaboration,high,Contains task/role coordination where both agents benefit without clear unilateral sacrifice.,Covering as you scout.
10 generationLine1\18\logs\Bot1.json,Bot1,Bot2,3,Shared_Context,medium,"Broadcasts status, inventory, health, positions, clear state, or threat information without task division.",Multiple zombies approaching - 5.1 blocks and 4.0 blocks away. I'm engaging with bow.
10 generationLine1\18\logs\Bot1.json,Bot1,Bot2,10,Altruistic_Collaboration,high,Primary intent gives up resources or accepts extra combat risk for the teammate.,bread dropped
10 generationLine1\18\logs\Bot2.json,Bot2,Bot1,7,Self_Preservation,high,"Primary intent is survival behavior such as healing, retreating, kiting, or requesting cover while vulnerable.",low hp - engaging hostiles
10 generationLine1\19\logs\Bot1.json,Bot1,Bot2,12,Altruistic_Collaboration,high,Primary intent gives up resources or accepts extra combat risk for the teammate.,bread dropped
10 generationLine1\19\logs\Bot2.json,Bot2,Bot1,6,Self_Preservation,high,"Primary intent is survival behavior such as healing, retreating, kiting, or requesting cover while vulnerable.",low hp
10 generationLine1\2\logs\Bot1.json,Bot1,Bot2,10,Shared_Context,medium,"Broadcasts status, inventory, health, positions, clear state, or threat information without task division.",zombie id 16 down. Still watching for zombie id 15. Status update: clearing one at a time.
10 generationLine1\2\logs\Bot1.json,Bot1,Bot2,29,Shared_Context,medium,"Broadcasts status, inventory, health, positions, clear state, or threat information without task division.",All hostiles cleared. Regrouping now.
10 generationLine1\2\logs\Bot1.json,Bot1,Bot2,48,Shared_Context,medium,"Broadcasts status, inventory, health, positions, clear state, or threat information without task division.",clear
10 generationLine1\2\logs\Bot2.json,Bot2,Bot1,0,Mutualistic_Collaboration,high,Contains task/role coordination where both agents benefit without clear unilateral sacrifice.,"Status: No hostiles detected. I've picked up my gear (stone sword, bow with arrows, leather tunic, bread, oak planks). Bot2 is 1.4 blocks away. Let's establish roles and positioning."
10 generationLine1\2\logs\Bot2.json,Bot2,Bot1,10,Shared_Context,medium,"Broadcasts status, inventory, health, positions, clear state, or threat information without task division.",clear
10 generationLine1\2\logs\Bot2.json,Bot2,Bot1,35,Shared_Context,medium,"Broadcasts status, inventory, health, positions, clear state, or threat information without task division.",clear
10 generationLine1\20\logs\Bot1.json,Bot1,Bot2,8,Altruistic_Collaboration,high,Primary intent gives up resources or accepts extra combat risk for the teammate.,Bot1 low hp - dropping bread to heal. I'll defend with bow. Stay close!
10 generationLine1\20\logs\Bot1.json,Bot1,Bot2,14,Self_Preservation,high,"Primary intent is survival behavior such as healing, retreating, kiting, or requesting cover while vulnerable.",Zombies approaching! Kiting back to maintain distance.
10 generationLine1\20\logs\Bot2.json,Bot2,Bot1,3,Self_Preservation,high,"Primary intent is survival behavior such as healing, retreating, kiting, or requesting cover while vulnerable.",low hp - multiple zombies approaching!
10 generationLine1\3\logs\Bot1.json,Bot1,Bot2,9,Shared_Context,medium,"Broadcasts status, inventory, health, positions, clear state, or threat information without task division.","zombie id 16 down, checking for other threats"
10 generationLine1\3\logs\Bot1.json,Bot1,Bot2,13,Shared_Context,medium,"Broadcasts status, inventory, health, positions, clear state, or threat information without task division.",clear
10 generationLine1\3\logs\Bot1.json,Bot1,Bot2,18,Shared_Context,medium,"Broadcasts status, inventory, health, positions, clear state, or threat information without task division.",I'm engaging nearest hostiles with stone sword
10 generationLine1\3\logs\Bot1.json,Bot1,Bot2,22,Shared_Context,medium,"Broadcasts status, inventory, health, positions, clear state, or threat information without task division.",Threats cleared and moving away. Bot1 - I'm clear.
10 generationLine1\3\logs\Bot2.json,Bot2,Bot1,9,Mutualistic_Collaboration,high,Contains task/role coordination where both agents benefit without clear unilateral sacrifice.,"15 is still active. Bot2 you're free to kite if you want, or stay with me for tank. I'll handle the melee."
10 generationLine1\3\logs\Bot2.json,Bot2,Bot1,17,Shared_Context,medium,"Broadcasts status, inventory, health, positions, clear state, or threat information without task division.",clear
10 generationLine1\4\logs\Bot2.json,Bot2,Bot1,0,Shared_Context,medium,"Broadcasts status, inventory, health, positions, clear state, or threat information without task division.",clear
