rule_id,run,generation_line,generation,relative_path,rule_index,categories,rule_text,classification_reason
00001,2 generationLine2,direct,2,2 generationLine2\2\knowledgebase.txt,1,Self Preservation,Equip Leather Tunic to torso immediately upon pickup.,"explicit individual health, escape, healing, safety, defensive gear, or risk-avoidance language"
00002,2 generationLine2,direct,2,2 generationLine2\2\knowledgebase.txt,2,,Equip Bow before hostiles approach.,
00003,2 generationLine2,direct,2,2 generationLine2\2\knowledgebase.txt,3,,Bow attack closest zombie first; then next closest.,
00004,2 generationLine2,direct,2,2 generationLine2\2\knowledgebase.txt,4,Communication,"After clearing threats, message teammate: confirm clear, report arrows remaining, signal ready for next wave.","explicit speaking, messaging, alerting, or communication/logging control"
00005,2 generationLine2,direct,2,2 generationLine2\2\knowledgebase.txt,5,Spatial Coordination & Architecture|Self Preservation,"When health low: eat bread until full, bow attack all approaching zombies, move to (5, 5).","explicit positioning, distance, retreat movement, pathing, or environment alteration; explicit individual health, escape, healing, safety, defensive gear, or risk-avoidance language"
00006,2 generationLine2,direct,2,2 generationLine2\2\knowledgebase.txt,6,Self Preservation,Always multi-action in crises: attack + eat + move.,"explicit individual health, escape, healing, safety, defensive gear, or risk-avoidance language"
00007,2 generationLine2,direct,3,2 generationLine2\3\knowledgebase.txt,1,Self Preservation,Immediately upon pickup: equip Leather Tunic to torso and Bow in hand.,"explicit individual health, escape, healing, safety, defensive gear, or risk-avoidance language"
00008,2 generationLine2,direct,3,2 generationLine2\3\knowledgebase.txt,2,,Do not equip Stone Sword initially; prioritize Bow.,
00009,2 generationLine2,direct,3,2 generationLine2\3\knowledgebase.txt,3,,"Bow attack closest zombies first, multi-action multiple if approaching.",
00010,2 generationLine2,direct,3,2 generationLine2\3\knowledgebase.txt,4,Communication,"After clearing all threats (none approaching): message living teammate ""Clear, X arrows left, ready for next.""","explicit speaking, messaging, alerting, or communication/logging control"
00011,2 generationLine2,direct,3,2 generationLine2\3\knowledgebase.txt,5,Spatial Coordination & Architecture|Self Preservation,"When health low: multi-action eat bread until full + attack all approaching zombies + move to (5, 5).","explicit positioning, distance, retreat movement, pathing, or environment alteration; explicit individual health, escape, healing, safety, defensive gear, or risk-avoidance language"
00012,2 generationLine2,direct,3,2 generationLine2\3\knowledgebase.txt,6,Communication,Always multi-action in crises; never message during fights or to dead/empty teammates.,"explicit speaking, messaging, alerting, or communication/logging control"
00013,2 generationLine2,direct,4,2 generationLine2\4\knowledgebase.txt,1,Communication|Self Preservation,Immediately upon pickup: multi-action equip Leather Tunic to torso then Bow in hand. Do not message.,"explicit speaking, messaging, alerting, or communication/logging control; explicit individual health, escape, healing, safety, defensive gear, or risk-avoidance language"
00014,2 generationLine2,direct,4,2 generationLine2\4\knowledgebase.txt,2,,Do not equip Stone Sword initially; prioritize Bow.,
00015,2 generationLine2,direct,4,2 generationLine2\4\knowledgebase.txt,3,,When mobs approaching: multi-action bow attack 2-3 closest zombies first (<3 blocks).,
00016,2 generationLine2,direct,4,2 generationLine2\4\knowledgebase.txt,4,Communication,"After clearing all threats (none approaching): message living teammate ""Clear, X arrows left, ready for next.""","explicit speaking, messaging, alerting, or communication/logging control"
00017,2 generationLine2,direct,4,2 generationLine2\4\knowledgebase.txt,5,Spatial Coordination & Architecture|Self Preservation,"When take damage or health low: multi-action eat_bread_until_full + bow attack closest zombies + move to (5, 5).","explicit positioning, distance, retreat movement, pathing, or environment alteration; explicit individual health, escape, healing, safety, defensive gear, or risk-avoidance language"
00018,2 generationLine2,direct,4,2 generationLine2\4\knowledgebase.txt,6,Communication,Always multi-action in crises/fights; never message/do_nothing during threats or to dead teammates.,"explicit speaking, messaging, alerting, or communication/logging control"
00019,2 generationLine2,direct,4,2 generationLine2\4\knowledgebase.txt,7,Communication,"On teammate ""clear"" message with no threats: send own ""Clear, X arrows left, ready for next.""","explicit speaking, messaging, alerting, or communication/logging control"
00020,2 generationLine2,direct,5,2 generationLine2\5\knowledgebase.txt,1,Communication|Self Preservation,Immediately upon pickup: multi-action equip Leather Tunic to torso then Bow in hand. Do not message.,"explicit speaking, messaging, alerting, or communication/logging control; explicit individual health, escape, healing, safety, defensive gear, or risk-avoidance language"
00021,2 generationLine2,direct,5,2 generationLine2\5\knowledgebase.txt,2,,Do not equip Stone Sword initially; prioritize Bow.,
00022,2 generationLine2,direct,5,2 generationLine2\5\knowledgebase.txt,3,,When mobs approaching: multi-action bow attack up to 3 closest zombies first (prioritize <4 blocks).,
00023,2 generationLine2,direct,5,2 generationLine2\5\knowledgebase.txt,4,Communication,"After clearing all threats (none approaching): message living teammate ""Clear, X arrows left, ready for next.""","explicit speaking, messaging, alerting, or communication/logging control"
00024,2 generationLine2,direct,5,2 generationLine2\5\knowledgebase.txt,5,Spatial Coordination & Architecture|Self Preservation,"When take damage or health low: multi-action eat_bread_until_full + bow_attack closest zombies if any + move to (5, 5).","explicit positioning, distance, retreat movement, pathing, or environment alteration; explicit individual health, escape, healing, safety, defensive gear, or risk-avoidance language"
00025,2 generationLine2,direct,5,2 generationLine2\5\knowledgebase.txt,6,Communication,"Always multi-action in crises/fights; never do_nothing, message during threats, or message dead teammates.","explicit speaking, messaging, alerting, or communication/logging control"
00026,2 generationLine2,direct,5,2 generationLine2\5\knowledgebase.txt,7,Communication,"On teammate ""clear"" message with no threats: multi-action eat_bread_until_full + send ""Clear, X arrows left, ready for next.""","explicit speaking, messaging, alerting, or communication/logging control"
00027,3 generationLine1,direct,2,3 generationLine1\2\knowledgebase.txt,1,Self Preservation,Equip leather tunic and stone sword immediately upon pickup.,"explicit individual health, escape, healing, safety, defensive gear, or risk-avoidance language"
00028,3 generationLine1,direct,2,3 generationLine1\2\knowledgebase.txt,2,,Attack the closest hostile with melee first.,
00029,3 generationLine1,direct,2,3 generationLine1\2\knowledgebase.txt,3,Communication|Mutualism|Self Preservation,"Communicate all attacks, plans, and status updates to partner: ""Attacking [ID], cover me"" or ""Health low, eating.""","explicit speaking, messaging, alerting, or communication/logging control; explicit role, coverage, cooperation, or tactical task-splitting language; explicit individual health, escape, healing, safety, defensive gear, or risk-avoidance language"
00030,3 generationLine1,direct,2,3 generationLine1\2\knowledgebase.txt,4,Self Preservation,Eat bread until full when health drops below 10.,"explicit individual health, escape, healing, safety, defensive gear, or risk-avoidance language"
00031,3 generationLine1,direct,2,3 generationLine1\2\knowledgebase.txt,5,Spatial Coordination & Architecture|Self Preservation,"Move away from spawn (0,0) to x=-20 z=20 or similar safe spot when health <5 or alone.","explicit positioning, distance, retreat movement, pathing, or environment alteration; explicit individual health, escape, healing, safety, defensive gear, or risk-avoidance language"
00032,3 generationLine1,direct,2,3 generationLine1\2\knowledgebase.txt,6,Communication|Mutualism,"Alert partner to incoming hostiles and coordinate coverage: melee close, bow range.","explicit speaking, messaging, alerting, or communication/logging control; explicit role, coverage, cooperation, or tactical task-splitting language"
00033,3 generationLine1,direct,2,3 generationLine1\2\knowledgebase.txt,7,Communication,Do not idle during threats; always act or communicate.,"explicit speaking, messaging, alerting, or communication/logging control"
00034,3 generationLine1,direct,2,3 generationLine1\2\knowledgebase.txt,8,Spatial Coordination & Architecture|Self Preservation,Prioritize self-heal and retreat over chasing kills when partner dies.,"explicit positioning, distance, retreat movement, pathing, or environment alteration; explicit individual health, escape, healing, safety, defensive gear, or risk-avoidance language"
00035,3 generationLine1,direct,3,3 generationLine1\3\knowledgebase.txt,1,Communication,"Equip both leather tunic and stone sword immediately upon pickup, then communicate items to partner.","explicit speaking, messaging, alerting, or communication/logging control"
00036,3 generationLine1,direct,3,3 generationLine1\3\knowledgebase.txt,2,Communication|Mutualism,"Attack closest hostile: melee if <5 blocks, bow if farther; communicate ""Attacking [ID] [melee/bow], cover me"".","explicit speaking, messaging, alerting, or communication/logging control; explicit role, coverage, cooperation, or tactical task-splitting language"
00037,3 generationLine1,direct,3,3 generationLine1\3\knowledgebase.txt,3,Communication|Self Preservation,"Communicate all attacks, plans, status, and incoming hostiles (even distant): ""Health [X], eating"" or ""Zombie [ID] at [dist], retreating"".","explicit speaking, messaging, alerting, or communication/logging control; explicit individual health, escape, healing, safety, defensive gear, or risk-avoidance language"
00038,3 generationLine1,direct,3,3 generationLine1\3\knowledgebase.txt,4,Self Preservation,Eat bread until full immediately when health <10.,"explicit individual health, escape, healing, safety, defensive gear, or risk-avoidance language"
00039,3 generationLine1,direct,3,3 generationLine1\3\knowledgebase.txt,5,Spatial Coordination & Architecture|Self Preservation,"Retreat to exact safe spot x=-20 z=20 when health <5, partner low, or alone; follow partner there.","explicit positioning, distance, retreat movement, pathing, or environment alteration; explicit individual health, escape, healing, safety, defensive gear, or risk-avoidance language"
00040,3 generationLine1,direct,3,3 generationLine1\3\knowledgebase.txt,6,Altruism|Mutualism,"Coordinate: one melee close threats, other bow range; cover retreating partner.","explicitly protects, covers, acknowledges, or aids a teammate/ally; explicit role, coverage, cooperation, or tactical task-splitting language"
